,128 Ranks,256 Ranks,512 Ranks,2048 Ranks,8196 Ranks
1,283216838,280851673,276120093,247742614,134224666
2,390988255,390801090,390423456,388182608,376890357
3,412449645,412525556,412688411,413658537,416099023
4,417426838,417423935,417418248,417388003,417328279
5,419160083,419161913,419159249,419152536,419202607
6,419910421,419908694,419907384,419861609,419621089
7,420337534,420331025,420313677,420215428,419701104
8,420571253,420561353,420535269,420378934,419731264
9,420756082,420741404,420703985,420524258,419788528
10,420821978,420807277,420767176,420580289,419772646
11,420882584,420868713,420840748,420626539,419811727
12,420895082,420877839,420848841,420631465,419798714
13,420920367,420897685,420870410,420655717,419804117
14,420932479,420920413,420879456,420682815,419792797
15,420960103,420935992,420899073,420661942,419820599
16,420941481,420925000,420887046,420660858,419795741
17,420949151,420932284,420894664,420680891,419793091
18,420939670,420925858,420882752,420678918,419777688
19,420944619,420928283,420897673,420681725,419796679
20,420926932,420903895,420876235,420651946,419777789
21,420956811,420938013,420895078,420666010,419814399
22,420935301,420916795,420894480,420683661,419821416
23,420956181,420942357,420909475,420679866,419794360
24,420952547,420934867,420907007,420676346,419823800
25,420956749,420930189,420882649,420678095,419781903
26,420952246,420930410,420915733,420679744,419816415
27,420951927,420934135,420895483,420680714,419777965
28,420954604,420934995,420895418,420669894,419817260
29,420954897,420936670,420896638,420672365,419771479
30,420964824,420946591,420894084,420678893,419810353
31,420953862,420940150,420908004,420683576,419777929
32,420958733,420941928,420921424,420693731,419822108
33,420954460,420936281,420903734,420668754,419785166
34,420936636,420920888,420892383,420656002,419785245
35,420945653,420934516,420900464,420669104,419804760
36,420972570,420950904,420918022,420698456,419813265
37,420922253,420913838,420867358,420659956,419771257
38,420940959,420928021,420899927,420691811,419811691
39,420957039,420935632,420884360,420666001,419791194
40,420971898,420949591,420900506,420693492,419821550
41,420969826,420945258,420911823,420679096,419789884
42,420950828,420932380,420875967,420666908,419784681
43,420953850,420937325,420890947,420655840,419806624
44,420934061,420921983,420881053,420662071,419805516
45,420956581,420934493,420891910,420684873,419803327
46,420935562,420917554,420896622,420683897,419799258
47,420956073,420928392,420882137,420674484,419798907
48,420951274,420933860,420894497,420675781,419785780
49,420939740,420931674,420895460,420670924,419796434
50,420948155,420915586,420885151,420663094,419782000
51,420975921,420946504,420907493,420656443,419801105
52,420956230,420943852,420903133,420675599,419792792
53,420948853,420940917,420896837,420675043,419788039
54,420932793,420915411,420884692,420664277,419776576
55,420958055,420938349,420901163,420693687,419821685
56,420946431,420930405,420894716,420675142,419794036
57,420947108,420937150,420903321,420668000,419796277
58,420950033,420940867,420906787,420660803,419786856
59,420936984,420923451,420891906,420659620,419813585
60,420952525,420938005,420891491,420687176,419795111
61,420960986,420939082,420908208,420680597,419805243
62,420947440,420932856,420892823,420668115,419790696
63,420936045,420924759,420874220,420668750,419786739
64,420951079,420932117,420891686,420678123,419794273
65,420959347,420944035,420897687,420685407,419809657
66,420945123,420925420,420898778,420686368,419796320
67,420953848,420935245,420902270,420668261,419788408
68,420946785,420928516,420897771,420659342,419797670
69,420950960,420935805,420899380,420681980,419817815
70,420957292,420931003,420890719,420688333,419806157
71,420953671,420938267,420904098,420678184,419793127
72,420960001,420941967,420914404,420691854,419805689
73,420943303,420906783,420890378,420666305,419784503
74,420932114,420924291,420883145,420663976,419789608
75,420964885,420948552,420893218,420685330,419817135
76,420950356,420934765,420898629,420667877,419792796
77,420932298,420911138,420873750,420649767,419766067
78,420945123,420928190,420886538,420684543,419823328
79,420963605,420929032,420902045,420688314,419805314
80,420967487,420951444,420925596,420692363,419800207
81,420954610,420944750,420899277,420666808,419817836
82,420952812,420943856,420899410,420683818,419794163
83,420954367,420928761,420884612,420680204,419772279
84,420959832,420945302,420909980,420698742,419823531
85,420964155,420950510,420906744,420702945,419819904
86,420936179,420920848,420900538,420657888,419789399
87,420941213,420943520,420886792,420665135,419804338
88,420941483,420924766,420903095,420668313,419787604
89,420954908,420943312,420899141,420695670,419811628
